arm	http_code	prompt_tokens	reasoning_chars	content_chars	note
A-unspecified	200	13	0	14	-
A-et-false	200	13	0	14	-
A-et-true	200	53	18	0	-
A-low	200	41	15	0	-
A-medium	200	11	15	0	-
A-xhigh	200	53	18	0	-
A-high	500	AMBIG(0)	0	0	{"detail":_"An_unexpected_error_occurred:_Unexpected_reasoning_effort_high._Supported_types_are_xhigh_(default),_medium,
A-et-medium	200	11	15	0	-
A-budget	500	AMBIG(0)	0	0	{"detail":_"Generation_failed:_thinking_budget_is_not_supported_with_speculative_decoding_in_the_server."}
B-unspecified	200	13	0	14	-
B-et-false	200	13	0	14	-
B-et-true	200	53	18	0	-
B-low	200	41	15	0	-
B-medium	200	11	15	0	-
B-xhigh	200	53	18	0	-
B-high	500	AMBIG(0)	0	0	{"detail":_"An_unexpected_error_occurred:_Unexpected_reasoning_effort_high._Supported_types_are_xhigh_(default),_medium,
B-et-medium	200	11	15	0	-
B-budget	500	AMBIG(0)	0	0	{"detail":_"Generation_failed:_thinking_budget_is_not_supported_with_speculative_decoding_in_the_server."}
content-unspecified	200	13	0	32	-
content-medium	200	11	142	76	-
content-et-medium	200	11	142	76	-
